,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
count,6810.0,6810,6810,2381,6738,6711,6481,6548,6804.0,6767.0,6767.0,6767.0
unique,,6810,6398,2009,3780,567,6481,6474,,,,
top,,9042003405,The Lord of the Rings,A Novel,Agatha Christie,Fiction,http://books.google.com/books/content?id=2lVyRH0TWugC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,No Marketing Blurb,,,,
freq,,1,11,226,37,2588,1,6,,,,
mean,9780676621541.416,,,,,,,,1998.6303644914756,3.933283582089552,348.1810255652431,21069.09989655682
std,606891056.586608,,,,,,,,10.484257160082675,0.33135160616178727,242.37678264542123,137620.6786468924
min,9780002005883.0,,,,,,,,1853.0,0.0,0.0,0.0
25%,9780330341506.0,,,,,,,,1996.0,3.77,208.0,159.0
50%,9780553108095.5,,,,,,,,2002.0,3.96,304.0,1018.0
75%,9780809982553.5,,,,,,,,2005.0,4.13,420.0,5992.5
max,9789042003408.0,,,,,,,,2019.0,5.0,3342.0,5629932.0
